Объект;Адрес;Местонахождение и Описание;№ Акта;Дата;№ Акта;Дата;ЗиП;Примечание;;;;;;;;;;;;;;;;;;
Спальный корпус;;добавить в конфигурацию ИЗ-1 на АЛС 16.2 и дать ему адрес - цоколь СК, лифтовой холл возле ПОСа - возле ИП 15.2.15. На визуализации поставить ниже ИВЭПРа 15.2.203 на уровне ИПР 15.2.1;;08.02.2023;на выполнение;переадресовать ИЗ;внести в проект;;;;;;;;;;;;;;;;;;;
Спальный корпус;;СК, -1 этаж, ось 14. Перенести на визуализации УДП 13.1.98 к ИП-64 13.1.206;;08.02.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;;табло Выход 10.2.131 за лифтами возле № 569 - отвязать от МРК-30 10.2.110-131 (возле № 574) и привзать к 16.1.61-78 (возле № 564).;;08.02.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;11.2.175;"УДП 11.2.175 возле № 687 - хинт ""Открытие противопожарных дверей"" изменить на стандартный (УДП 100.1.11.2.175  (УДП ДУ 6 этаж)";;08.02.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;;у ППКП №13-32 убрать названия (цоколь, -1, -2, 1, бассейн, ресторан, старый) - не совсем соответствуют действительности (соответствует только 31.1 рест Мраморный, 31.2 рест Хрустальный и то, если исправить);;08.02.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;22.1.165;"Цоколь ресторанов, Хамам. Убрать из конфигурации ИП64 22.1.166. Вместо ИП64 22.1.165 прописать АМ-1 со сработкой по двум ИП101-5 ""Сауна-150""";;11.10.2022;на выполнение;переадресовать АМ;в проект внесено;;;;;;;;;;;;;;;;;;;
Спальный корпус;6.2.205;ресторан Ай-Петри, изменить зону привязки ИП 6.2.205 с 1648 на 1642;;05.12.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;10.2.172;Перенести иконку МДУ от №871 к номерам 873-875 (напротив ИП 10.2.38);;16.11.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;3.2.101;"АМ-1Т - название ""ИВЭПР 16 этаж 2 секция (ИВЭПР 16 этаж 2 секция)"" слишком длинное";;11.11.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;;Переделить зоны ПО 271272 (конферен-залы Омега и Фиолент, красная дорожка). В зону 271 должны попасть ИП64 14.1.69 и 72 (Омега), а в зону 272 - ИП64 14.1.75 и 191(Фиолент).;;11.10.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;;В спальном корпусе изменить номера зон ПО не относящихся к гостевым номерам, так чтобы они не были похожи на номера гостевых номеров, а то диспетчера тупят.;;11.10.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;21.1.116;Задвоение нашли. Добавить в конфигурацию ИПД-РК зав № 0001225059, задать ему адрес, отобразить его на визуализации - 13 этаж 4 секция холл лифтов,  между табло 21.1.120 и 121. Сейчас на адресе 21.1.116 числятся 2 ИПД-РК: 1211349(правильно) и вот этот 1225059. Или проще этот извещатель выкинуть с балкона?;;30.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"17эт. Зону ПО 1701 ""Маш отделение 1 (17)"" переобозвать ""Маш отделение лифтов 1секц 17эт""";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"17эт. Зопу ПО 1702 ""Маш отделение"" переобозвать ""Маш отделение лифтов 2секц 17эт""";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"17эт. Зопу ПО 1703 ""Коридор"" переобозвать ""Коридор диспетчер лифтов 17эт""";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"17эт. Зопу ПО 1704 ""Пом диспетчера 17"" переобозвать ""Диспетчер лифтов 17эт""";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"17эт. Зопу ПО 1705 ""ЛК 17"" переобозвать ""Лестница в лифтовую 17эт""";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"17эт. Зопу ПО 1706 ""Маш отделение"" переобозвать ""Маш отделение 5ки лифтов 2секц 17эт""";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"17эт. Зопу ПО 1707 ""Маш отделение (17)"" переобозвать ""Маш отделение лифтов 3секц 17эт""";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"17эт. Зопу ПО 1708 ""Маш отделение 4 (17)"" переобозвать ""Маш отделение лифтов 4секц 17эт""";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"16 эт. Зону ПО 1615 ""Коридор тыл (16)"" переименовать в ""Служ коридор рест АйПетри""";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"16 эт. Зону ПО 1602 ""Холл служ лифт(16)"" переименовать в ""Холл служ лифт 1секц 16эт""";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"16 эт. Зону ПО 1607 ""Холл служ лифт(16)"" переименовать в ""Холл служ лифт 2секц 16эт""";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"16 эт. Зону ПО с извещателями 3.2.107-109 №1602 ""Коридор тыл (16)"" переименовать в № 1607 ""Холл служ лифт 2секц 16эт"" (задвоение с зоной лифтов 1й секции)";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;3.2.109;"16эт. ИП64 3.2.109 привязать к зоне 1607 ""Холл служ лифтов 2 секц"", а не к зоне 1615 ""коридора АйПетри""";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"16эт. Зону ПО 1612 ""Караоке -ар"" переименовать в ""Караоке-бар 16эт""";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"16эт. Зоны ПО 1617 ""Ниша лифтов (16)"" и 1618 ""Коридор (16)"" можно объединить с 1615 ""Служ коридор АйПетри""";;08.09.2022;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный Корпус;;"16эт. Зону ПО 1622 ""Кухня (16)"" переименовать в ""Кухня ресторана АйПетри"". И объединить с зонами 1621, 1620 и 1619 - это одно помещение.";;;;;;;;;;;;;;;;;;;;;;;;
