Объект;Адрес;Местонахождение и Описание;№ Акта;Дата;№ Акта;Дата;ЗиП;Примечание;;;;;;;;;;;;;;;;;;
Спальный Корпус;6.2.147;ИПД-РК с адресом 6.2.147 №1164 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;6.2.151;ИПД-РК с адресом 6.2.151 №1164 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.1.85;ИПД-РК с адресом 11.1.85 № 452 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;9.1.133;ИПД-РК с адресом 9.1.133 №994 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.113;ИПД-РК с адресом 11.2.113 № 386 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;9.1.153;ИПД-РК с адресом 9.1.153 №894 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.117;ИПД-РК с адресом 11.2.117 №.386  - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.137;ИПД-РК с адресом 11.2.137 № 234 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.139;ИПД-РК с адресом 11.2.139 № 238 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.140;ИПД-РК с адресом 11.2.140 № 240 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;9.1.154;ИПД-РК с адресом 9.1.154 №894 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.143;ИПД-РК с адресом 11.2.143 № 238 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.16;ИПД-РК с адресом 11.2.16 № 786 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;9.1.37;ИПД-РК с адресом 9.1.37 №1492 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.238;ИПД-РК с адресом 11.2.238 № 342 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.239;ИПД-РК с адресом 11.2.239 № 342 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;9.1.50;ИПД-РК с адресом 9.1.50 13 этаж 4 секция - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.37;ИПД-РК с адресом 11.2.37 № 686 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.90;ИПД-РК с адресом 11.2.90 № 488 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;9.1.69;ИПД-РК с адресом 9.1.69 12 этаж 4 секция - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.18;ИПД-РК с адресом 12.1.18 6 этаж 4 секция - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт ;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.25;ИПД-РК с адресом 12.1.25 № 593 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.27;ИПД-РК с адресом 12.1.27 № 591 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;9.1.70;ИПД-РК с адресом 9.1.70 12 этаж 4 секция - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.46;ИПД-РК с адресом 12.1.46 № 491 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.62;ИПД-РК с адресом 12.1.62 № 391 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;9.1.85;ИПД-РК с адресом 9.1.85 №1193 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.64;ИПД-РК с адресом 12.1.64 № 393 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.69;ИПД-РК с адресом 12.1.69 3 этаж 4 секция - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт ;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.84;ИПД-РК с адресом 12.1.84 № 249 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.44;ИПД-РК с адресом 12.1.44 № 493 - неисправность питания;АО№796;18.07.2022;АВР№797;18.07.2022;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.58;ОПС-РК с адресом 16.1.58 6 этаж 2 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;10.2.104;ОПС-РК с адресом 10.2.104 6 этаж 3 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;9.2.203;ОПС-РК с адресом 3.2.203 4 этаж 1 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.1.149;ОПС-РК с адресом 1.1.149 4 этаж 1 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.1.148;ОПС-РК с адресом 1.1.148 4 этаж 1 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.244;ОПС-РК с адресом 11.2.244 3 этаж 2 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.119;ОПС-РК с адресом 16.1.119 3 этаж 3 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.41;ОПС-РК с адресом 12.2.41 9 этаж 4 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;6.2.195;ОПС-РК с адресом 6.2.195 9 этаж 3 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;5.1.129;ОПС-РК с адресом 5.1.129 8 этаж 2 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.18;ОПС-РК с адресом 5.1.18 8 этаж 3 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.19;ОПС-РК с адресом 5.1.19 8 этаж 3 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;8.1.196;ОПС-РК с адресом 8.1.196 8 этаж 4 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.68;ОПС-РК с адресом 12.2.68 8 этаж 4 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.93;ОПС-РК с адресом 12.2.93  7 этаж 4 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.91;ОПС-РК с адресом 12.2.91  7 этаж 4 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.21;ОПС-РК с адресом 11.2.21  7 этаж 4 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;10.2.76;ОПС-РК с адресом 10.2.76  7 этаж 3 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.38;ОПС-РК с адресом 16.1.38  7 этаж 3 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;5.1.145;ОПС-РК с адресом 5.1.145  7 этаж 2 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;5.1.146;ОПС-РК с адресом 5.1.146  7 этаж 2 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.211;ОПС-РК с адресом 1.2.211  7 этаж 1 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.234;ОПС-РК с адресом 1.2.234 6 этаж 1 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;21.1.70;ОПС-РК с адресом 21.1.70 15 этаж 4 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;21.1.71;ОПС-РК с адресом 21.1.71 15 этаж 4 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;21.1.72;ОПС-РК с адресом 21.1.72 15 этаж 4 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;8.1.21;ОПС-РК с адресом 8.1.21 15 этаж 4 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;6.2.75;ОПС-РК с адресом 6.2.75 15 этаж 4 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.2.20;ОПС-РК с адресом 2.2.20 15 этаж 1 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.22;ОПС-РК с адресом 1.2.22 15 этаж 1 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.21;ОПС-РК с адресом 1.2.21 15 этаж 1 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;21.1.95;ОПС-РК с адресом 21.1.95 14 этаж 4 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;21.1.96;ОПС-РК с адресом 21.1.96 14 этаж 4 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;10.2.103;ОПС-РК с адресом 10.2.103 6 этаж 3 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 2шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.116;ОПС-РК с адресом 12.2.116 6 этаж 4 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 2шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.177;ОПС-РК с адресом13.2.177 3 этаж 1 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 2шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.66;ОПС-РК с адресом 12.2.66 8 этаж 4 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 2шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.67;ОПС-РК с адресом 12.2.67 8 этаж 4 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 2шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;10.2.75;ОПС-РК с адресом 10.2.75  7 этаж 3 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 2шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.210;ОПС-РК с адресом 1.2.210  7 этаж 1 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 2шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.233;ОПС-РК с адресом 1.2.233 6 этаж 1 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 2шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.1.119;ОПС-РК с адресом 1.1.119 6 этаж 1 секция - неисправность питания;АО№798;18.07.2022;АВР№799;18.07.2022;CR123A - 2шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.106;ИПД-РК с адресом 12.2.106 6 этаж 4 секция - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт ;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.132;ИПД-РК с адресом 12.2.132 5 этаж 4 секция - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт ;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.138;ИПР-РК с адресом 12.2.138 5 этаж 4 секция - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт ;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.157;ИПД-РК с адресом 12.2.157 4 этаж 4 секция - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт ;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.216;ИПД-РК с адресом 1.2.216 № 605 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.52;ИПД-РК с адресом 12.2.52 № 889 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.8;ИПД-РК с адресом 12.2.8 10 этаж 4 секция - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт ;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.81;ИПД-РК с адресом 12.2.81 № 788 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;1.2.228;ИПД-РК с адресом 1.2.228 № 602 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.118;ИПД-РК с адресом 13.2.118 № 505 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;10.1.106;ИПД-РК с адресом 10.1.106 № 382 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.135;ИПД-РК с адресом 13.2.135 № 401 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.141;ИПД-РК с адресом 13.2.141 № 403 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.159;ИПД-РК с адресом 13.2.159 № 303 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;10.1.125;ИПД-РК с адресом 10.1.125 № 232 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.164;ИПД-РК с адресом 13.2.164 № 305 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.165;ИПД-РК с адресом 13.2.165 № 307 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.168;ИПД-РК с адресом 13.2.168 № 302 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.175;ИПД-РК с адресом 13.2.175 № 308 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;10.1.183;ИПД-РК с адресом 10.1.183 № 207 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.53;ИПД-РК с адресом 13.2.53 № 535 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.84;ИПД-РК с адресом 13.2.84 № 434 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;14.1.127;ИПД-РК с адресом 14.1.127 3 этаж 4 секция коридор - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;14.1.156;ИПД-РК с адресом 14.1.156 № 243 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;10.1.31;ИПД-РК с адресом 10.1.31 № 683 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;14.1.158;ИПД-РК с адресом 14.1.158 № 243 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;14.1.161;ИПД-РК с адресом 14.1.161 2 этаж 4 секция - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт ;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;10.1.41;ИПД-РК с адресом 10.1.41 № 684 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;14.1.172;ИПД-РК с адресом 14.1.172 № 242 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;14.1.22;ИПД-РК с адресом 14.1.22 № 389 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;14.1.24;ИПД-РК с адресом 14.1.24 № 389 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;10.2.94;ИПД-РК с адресом 10.2.94 № 670 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;15.1.90;ИПД-РК с адресом 15.1.90 № 464 - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;15.2.161;ИПР-РК с адресом 15.2.161 ресторан А-Тавола - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;15.2.162;ИПД-РК с адресом 15.2.162 ресторан А-Тавола - неисправность питания;АО№803;19.07.2022;АВР№804;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.112;ИПД-РК с адресом 11.2.112 № 386 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;3.1.139;ИПД-РК с адресом 3.1.139 № 932 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.116;ИПД-РК с адресом 11.2.116 № 386 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;3.1.98;ИПД-РК с адресом 3.1.98 № 1130 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;3.2.151;ИПД-РК с адресом 3.2.151 № 1540 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.142;ИПД-РК с адресом 11.2.142 № 236 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;4.2.128;ИПД-РК с адресом 4.2.128 № 438 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;4.2.26;ИПД-РК с адресом 4.2.26 №1040 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.17;ИПД-РК с адресом 11.2.17 № 786 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;4.2.9;ИПД-РК с адресом 4.2.9 №1140 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;5.1.103;ИПД-РК с адресом 5.1.103 №942 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;5.1.122;ИПД-РК с адресом 5.1.122 № 842 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.240;ИПД-РК с адресом 11.2.240 № 342 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;5.1.174;ИПД-РК с адресом 5.1.174 № 644 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;5.1.207;ИПД-РК с адресом 5.1.207 № 442 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.15;ИПД-РК с адресом 12.1.15 № 692 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;5.1.69;ИПД-РК с адресом 5.1.69 № 1142 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;5.1.73;ИПД-РК с адресом 5.1.73 11 этаж 2 секция - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт ;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;5.1.93;ИПР-РК с адресом 5.1.93 10 этаж 2 секция - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт ;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.63;ИПД-РК с адресом 12.1.63 № 391 - неисправность питания;АО№805;19.07.2022;АВР№806;19.07.2022;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
